marka,model,yil,km,vites,yakit,motor,kasa,hasar,fiyat
Ford,Fiesta,2020,161668,otomatik,dizel,1.0,suv,yok,152692
BMW,320i,2015,18838,otomatik,dizel,1.3,sedan,yok,100000
Volkswagen,Golf,2016,79734,otomatik,dizel,1.3,suv,yok,1377164
Ford,Mondeo,2017,59261,manuel,benzin,1.4,hatchback,yok,178957
Toyota,Camry,2018,184984,otomatik,benzin,1.0,hatchback,var,309623
Mercedes,A180,2019,111879,manuel,benzin,1.5,suv,yok,484490
BMW,116i,2022,25416,otomatik,dizel,1.6,sedan,yok,1364518
Mercedes,CLA200,2020,146852,manuel,dizel,1.4,hatchback,yok,286189
BMW,X5,2023,153155,otomatik,dizel,1.6,hatchback,yok,1247537
Renault,Clio,2017,91262,manuel,dizel,2.0,sedan,yok,1393549
Toyota,C-HR,2015,55410,otomatik,benzin,1.0,hatchback,yok,1067024
Honda,CR-V,2021,100867,otomatik,dizel,1.0,sedan,var,1072053
Ford,Mondeo,2021,67656,otomatik,dizel,2.0,hatchback,yok,1636966
Renault,Kadjar,2020,16836,otomatik,dizel,2.0,suv,yok,399298
Fiat,500,2019,154639,otomatik,dizel,1.4,sedan,yok,1247543
Toyota,Camry,2017,176235,manuel,dizel,1.0,hatchback,yok,1014467
Ford,Fiesta,2017,127284,otomatik,dizel,1.3,suv,var,494086
Toyota,C-HR,2023,110190,manuel,elektrik,2.0,sedan,var,650322
Audi,A4,2018,12934,otomatik,dizel,1.6,sedan,var,100000
Ford,Mondeo,2017,55844,otomatik,dizel,2.0,suv,yok,1125739
Honda,Jazz,2016,127839,otomatik,dizel,1.6,sedan,yok,947542
BMW,X5,2019,27671,otomatik,dizel,2.0,sedan,yok,799695
Audi,Q5,2022,4768,otomatik,benzin,1.0,sedan,yok,934138
Mercedes,E250,2021,93658,manuel,dizel,1.3,sedan,yok,692323
Honda,Accord,2023,184055,otomatik,benzin,1.5,hatchback,yok,677122
Fiat,500,2020,144434,otomatik,dizel,1.6,hatchback,var,1362451
Hyundai,Kona,2017,55917,otomatik,benzin,1.6,suv,yok,618936
Renault,Clio,2021,171318,manuel,benzin,2.0,hatchback,var,487952
Renault,Kadjar,2016,144229,otomatik,dizel,2.0,suv,var,433994
Renault,Captur,2021,105657,otomatik,benzin,1.6,suv,yok,881290
Fiat,Tipo,2021,185509,manuel,dizel,1.0,sedan,yok,1306923
BMW,M4,2021,161210,otomatik,benzin,1.6,sedan,yok,489155
Audi,A4,2021,196227,otomatik,benzin,1.6,sedan,yok,1031789
Mercedes,E250,2016,185125,manuel,benzin,1.0,sedan,var,727161
Audi,A3,2019,151023,otomatik,benzin,1.3,hatchback,yok,1662383
Renault,Talisman,2019,56949,otomatik,benzin,1.5,suv,yok,673161
Toyota,RAV4,2021,148075,manuel,benzin,2.0,sedan,yok,1415620
Toyota,C-HR,2016,111156,otomatik,dizel,1.0,sedan,yok,795815
Honda,HR-V,2020,5808,manuel,dizel,1.5,sedan,var,822536
Toyota,RAV4,2015,194618,manuel,benzin,1.3,sedan,yok,290345
Honda,HR-V,2019,6810,otomatik,hybrid,1.6,sedan,var,231113
Fiat,500X,2023,1110,manuel,dizel,1.5,hatchback,var,1599034
Volkswagen,Tiguan,2022,185302,otomatik,dizel,2.0,sedan,yok,217256
BMW,320i,2017,183436,manuel,benzin,1.6,sedan,yok,570980
Fiat,500,2016,140809,manuel,dizel,1.5,sedan,yok,480987
Volkswagen,Golf,2022,130548,manuel,dizel,1.0,sedan,yok,461830
Fiat,500,2017,57730,otomatik,hybrid,1.6,sedan,yok,1337476
Honda,Jazz,2019,100095,otomatik,benzin,2.0,hatchback,yok,1145227
Renault,Talisman,2023,147087,manuel,dizel,1.4,hatchback,yok,281823
Toyota,C-HR,2018,118792,otomatik,dizel,1.5,hatchback,yok,530252
Volkswagen,Golf,2017,27950,otomatik,benzin,1.0,sedan,yok,624724
Mercedes,CLA200,2016,181653,otomatik,benzin,1.3,sedan,yok,1387872
Renault,Kadjar,2016,155372,otomatik,dizel,1.4,hatchback,yok,266134
Volkswagen,Arteon,2016,156826,otomatik,dizel,1.0,hatchback,yok,758553
Fiat,Egea,2022,48968,manuel,dizel,1.6,suv,yok,1071640
Audi,Q7,2019,92691,otomatik,elektrik,1.5,sedan,yok,959781
BMW,320i,2018,176177,manuel,dizel,1.5,sedan,yok,397368
Renault,Clio,2023,45105,otomatik,benzin,1.3,sedan,yok,1816133
Audi,Q5,2020,125400,otomatik,dizel,1.3,sedan,var,1003408
Volkswagen,Passat,2022,95124,otomatik,hybrid,1.5,sedan,yok,442075
Honda,HR-V,2015,63166,manuel,hybrid,1.0,sedan,yok,209561
Hyundai,Tucson,2017,83924,otomatik,dizel,1.5,sedan,yok,1414693
Toyota,Yaris,2020,142501,otomatik,hybrid,1.3,sedan,yok,1213794
Honda,CR-V,2015,171016,manuel,benzin,2.0,suv,var,940467
Renault,Megane,2016,92291,manuel,dizel,1.0,hatchback,var,403912
Audi,A3,2021,123469,manuel,elektrik,1.0,hatchback,yok,1443611
Hyundai,i10,2021,78785,manuel,benzin,2.0,sedan,yok,698129
Audi,A3,2018,47913,otomatik,benzin,1.0,hatchback,yok,355942
Renault,Kadjar,2018,182632,otomatik,hybrid,1.6,hatchback,yok,455749
Mercedes,GLA200,2023,82150,otomatik,benzin,1.6,suv,yok,431407
Honda,Jazz,2015,23574,otomatik,benzin,1.0,hatchback,yok,1066634
Fiat,500,2022,46978,otomatik,benzin,2.0,suv,yok,497040
Honda,Jazz,2022,103326,manuel,benzin,1.4,sedan,yok,1479282
Fiat,Tipo,2017,190412,otomatik,benzin,1.6,sedan,yok,1612816
Audi,A3,2020,136287,otomatik,hybrid,2.0,hatchback,yok,1113317
Ford,Mondeo,2015,138744,manuel,benzin,1.0,sedan,yok,100000
Fiat,Egea,2019,65589,otomatik,dizel,1.5,hatchback,yok,1255888
Honda,HR-V,2017,88865,manuel,elektrik,1.3,hatchback,yok,100000
Audi,Q5,2016,144728,manuel,benzin,2.0,suv,yok,763451
Mercedes,C180,2019,101877,manuel,hybrid,1.5,sedan,yok,1149639
Ford,Focus,2015,62987,otomatik,hybrid,1.5,sedan,var,680820
Volkswagen,Tiguan,2017,88754,otomatik,benzin,1.4,sedan,yok,939655
Ford,Kuga,2015,135818,otomatik,benzin,1.6,sedan,yok,380936
Mercedes,CLA200,2017,23834,manuel,dizel,2.0,suv,var,1544878
Ford,Puma,2020,119921,otomatik,hybrid,1.6,hatchback,yok,342485
BMW,116i,2015,47040,otomatik,benzin,1.6,suv,yok,736176
Hyundai,i10,2017,45875,otomatik,hybrid,2.0,hatchback,var,1445591
Volkswagen,Polo,2019,156709,otomatik,benzin,2.0,sedan,yok,1509406
Hyundai,i30,2020,163093,otomatik,elektrik,1.0,sedan,yok,608673
Mercedes,A180,2015,87693,manuel,dizel,1.0,hatchback,yok,114511
Fiat,500,2018,110564,manuel,dizel,1.3,hatchback,yok,833148
BMW,116i,2023,100779,manuel,elektrik,2.0,sedan,yok,995822
Fiat,500X,2018,58916,otomatik,benzin,1.5,sedan,yok,277983
Hyundai,i20,2016,101328,otomatik,benzin,1.5,sedan,var,118551
Renault,Megane,2021,171647,otomatik,hybrid,2.0,sedan,yok,1313854
BMW,M4,2016,187936,otomatik,hybrid,1.3,sedan,yok,897108
Honda,Accord,2021,16932,otomatik,benzin,1.4,sedan,yok,1010950
Mercedes,GLA200,2016,125579,manuel,hybrid,1.5,sedan,yok,1285857
Renault,Megane,2023,103054,otomatik,dizel,1.6,hatchback,yok,1807141
Renault,Kadjar,2022,152898,manuel,benzin,1.3,hatchback,yok,1364214
BMW,320i,2020,141289,otomatik,hybrid,1.5,hatchback,yok,1258095
Hyundai,Kona,2017,189912,otomatik,elektrik,1.0,sedan,yok,463378
Volkswagen,Polo,2022,79963,otomatik,benzin,1.3,sedan,var,1742356
Fiat,Egea,2019,74821,otomatik,benzin,1.3,sedan,yok,715735
Renault,Talisman,2023,124818,manuel,dizel,1.6,hatchback,var,869531
Audi,Q5,2021,189487,otomatik,benzin,1.6,sedan,yok,1811284
BMW,116i,2018,9656,otomatik,dizel,1.4,hatchback,yok,100000
Honda,CR-V,2019,182287,otomatik,benzin,2.0,hatchback,yok,619151
Volkswagen,Polo,2017,26659,manuel,hybrid,2.0,suv,yok,1202022
Hyundai,Kona,2022,154497,manuel,benzin,1.0,suv,yok,1555082
Fiat,Tipo,2021,46202,otomatik,benzin,1.6,suv,yok,1121601
Renault,Talisman,2022,33453,manuel,dizel,1.0,sedan,yok,306837
Audi,A3,2018,104234,otomatik,hybrid,1.3,hatchback,var,869746
Volkswagen,Arteon,2022,150506,otomatik,benzin,1.0,sedan,yok,536740
Audi,Q7,2020,158651,otomatik,benzin,2.0,hatchback,var,304090
Ford,Focus,2016,137843,otomatik,benzin,1.5,suv,yok,251782
Volkswagen,Tiguan,2022,104536,otomatik,hybrid,1.5,hatchback,yok,948467
Honda,CR-V,2017,81585,manuel,benzin,2.0,sedan,yok,1473582
Audi,A6,2023,135843,otomatik,dizel,1.6,sedan,var,1801797
Honda,CR-V,2016,16291,otomatik,dizel,1.3,sedan,yok,878632
Mercedes,A180,2016,65535,otomatik,benzin,1.0,hatchback,var,1473382
Renault,Megane,2016,150879,manuel,elektrik,1.3,suv,var,863770
BMW,520i,2023,8846,otomatik,benzin,1.6,sedan,yok,1348636
Fiat,Egea,2017,173761,otomatik,elektrik,1.0,sedan,var,1050185
Ford,Focus,2015,132464,otomatik,hybrid,1.3,sedan,yok,849470
Volkswagen,Golf,2020,27434,manuel,benzin,1.5,sedan,yok,1729045
Ford,Kuga,2016,72713,manuel,benzin,2.0,hatchback,yok,365562
BMW,X5,2021,167617,manuel,benzin,1.4,hatchback,yok,1172834
Renault,Talisman,2020,153531,otomatik,benzin,1.3,sedan,yok,1098051
Ford,Puma,2020,114206,otomatik,dizel,1.6,sedan,yok,1342831
Hyundai,Kona,2019,97679,otomatik,hybrid,2.0,suv,yok,964681
Renault,Captur,2022,76906,otomatik,elektrik,1.4,suv,var,1165096
Renault,Megane,2022,126047,otomatik,dizel,1.4,hatchback,yok,1253538
Fiat,500X,2015,81303,otomatik,dizel,1.3,sedan,yok,972747
Hyundai,i30,2020,75222,manuel,hybrid,1.4,sedan,yok,372362
Fiat,500X,2016,182747,otomatik,benzin,1.3,sedan,var,849970
Volkswagen,Tiguan,2017,133801,otomatik,dizel,1.4,sedan,var,244419
Fiat,Egea,2016,191382,manuel,dizel,1.3,sedan,yok,1397252
Mercedes,A180,2023,108701,otomatik,benzin,2.0,sedan,yok,1378505
BMW,X5,2018,76441,otomatik,dizel,1.4,sedan,yok,742895
Mercedes,E250,2016,155382,manuel,benzin,2.0,suv,var,729960
Ford,Mondeo,2023,25458,otomatik,dizel,1.5,sedan,yok,391598
Volkswagen,Golf,2018,26932,otomatik,dizel,1.4,sedan,yok,461134
Honda,Civic,2018,150897,otomatik,dizel,1.4,hatchback,yok,588451
Renault,Clio,2020,199370,otomatik,hybrid,1.6,sedan,yok,1206288
Ford,Puma,2021,181732,manuel,benzin,2.0,hatchback,yok,1388497
BMW,M4,2016,162351,otomatik,benzin,1.6,sedan,yok,636834
Toyota,Corolla,2019,22283,otomatik,benzin,1.3,suv,yok,1333837
Renault,Talisman,2018,134298,otomatik,benzin,1.6,sedan,yok,1647577
Toyota,C-HR,2016,88513,otomatik,hybrid,1.3,sedan,yok,1547213
Ford,Fiesta,2020,168370,otomatik,dizel,1.0,sedan,yok,1091909
Renault,Kadjar,2015,105885,otomatik,dizel,1.6,hatchback,yok,1004891
Renault,Talisman,2020,32895,manuel,benzin,1.0,hatchback,var,640406
Ford,Fiesta,2017,52048,otomatik,dizel,2.0,suv,yok,847017
Ford,Fiesta,2023,142509,manuel,elektrik,2.0,hatchback,var,955094
Toyota,C-HR,2015,39934,otomatik,dizel,2.0,sedan,yok,1007040
Fiat,Egea,2017,18318,otomatik,benzin,1.5,sedan,yok,809391
Hyundai,Tucson,2023,182452,otomatik,benzin,1.0,hatchback,yok,503903
Toyota,Corolla,2020,104464,otomatik,hybrid,1.0,sedan,yok,1248748
Volkswagen,Polo,2020,75391,manuel,benzin,1.4,suv,yok,216774
Volkswagen,Golf,2023,76833,otomatik,hybrid,1.5,sedan,yok,1611122
Volkswagen,Passat,2021,168805,manuel,benzin,1.6,sedan,var,1378259
Honda,Civic,2021,9301,otomatik,hybrid,1.0,hatchback,yok,1201051
Honda,HR-V,2020,67626,otomatik,dizel,1.5,sedan,yok,776256
BMW,520i,2018,92015,manuel,benzin,1.3,sedan,yok,844195
BMW,116i,2020,43722,otomatik,hybrid,1.4,sedan,yok,1558420
BMW,X5,2016,54184,otomatik,benzin,2.0,suv,var,325312
Fiat,500X,2022,167807,otomatik,hybrid,2.0,hatchback,var,1278686
Audi,Q5,2022,82616,manuel,elektrik,1.4,suv,var,1492419
Volkswagen,Golf,2017,41176,otomatik,benzin,2.0,sedan,yok,681038
BMW,320i,2018,14083,otomatik,benzin,1.3,sedan,yok,817329
Ford,Mondeo,2017,100689,otomatik,benzin,2.0,sedan,yok,100000
Fiat,500,2018,12804,otomatik,benzin,1.0,sedan,yok,791597
Toyota,Camry,2020,170267,otomatik,benzin,1.3,hatchback,yok,527807
Fiat,Tipo,2016,61880,otomatik,benzin,1.6,sedan,yok,100000
Honda,Civic,2016,199617,otomatik,benzin,1.5,sedan,yok,1330942
Renault,Megane,2018,98812,otomatik,dizel,1.4,hatchback,var,1591175
Volkswagen,Arteon,2016,77594,manuel,hybrid,1.6,suv,yok,237479
Renault,Megane,2019,90051,manuel,dizel,1.5,suv,yok,472094
Renault,Kadjar,2020,98348,manuel,hybrid,1.4,suv,yok,954282
Renault,Megane,2021,104523,manuel,benzin,1.4,sedan,yok,1543162
Toyota,C-HR,2016,151153,otomatik,benzin,1.6,sedan,var,1118662
Audi,Q5,2022,83687,otomatik,benzin,1.4,sedan,yok,637397
BMW,320i,2016,35762,otomatik,dizel,1.4,suv,yok,1123999
Honda,CR-V,2019,31228,manuel,dizel,2.0,hatchback,yok,1012705
Fiat,500,2016,47567,otomatik,benzin,1.4,sedan,var,529356
Honda,HR-V,2017,14111,manuel,elektrik,1.0,sedan,yok,1016730
BMW,M4,2020,144273,manuel,hybrid,1.3,sedan,yok,907140
Ford,Mondeo,2017,123452,otomatik,benzin,1.3,sedan,yok,1005711
Honda,Civic,2018,27041,otomatik,benzin,1.4,sedan,var,1182182
Honda,Accord,2015,188723,otomatik,benzin,1.6,sedan,yok,530756
Audi,A4,2017,123386,manuel,benzin,1.0,suv,var,1072347
Volkswagen,Arteon,2023,175109,otomatik,dizel,1.6,hatchback,yok,674461
Toyota,Yaris,2019,10351,otomatik,benzin,1.4,sedan,yok,1524377
Mercedes,A180,2023,118959,otomatik,benzin,1.5,sedan,yok,909537
Ford,Puma,2021,163122,otomatik,benzin,1.4,hatchback,var,1787487
Renault,Clio,2022,75414,otomatik,hybrid,1.6,suv,var,592351
Hyundai,i30,2021,102213,manuel,benzin,2.0,hatchback,yok,561238
Mercedes,CLA200,2017,153625,otomatik,benzin,1.6,suv,yok,1110099
Mercedes,CLA200,2020,99494,manuel,hybrid,1.0,suv,yok,862604
Renault,Kadjar,2019,50490,otomatik,dizel,1.6,sedan,yok,510102
Fiat,Panda,2016,75531,otomatik,dizel,1.4,sedan,var,1367892
Ford,Puma,2017,178981,otomatik,benzin,1.5,suv,yok,1085355
Renault,Kadjar,2023,42857,otomatik,hybrid,1.5,hatchback,yok,782120
Fiat,Panda,2022,157044,manuel,dizel,1.4,suv,yok,1569366
BMW,320i,2017,60546,otomatik,dizel,2.0,sedan,yok,513186
Fiat,Tipo,2020,122137,otomatik,dizel,1.4,sedan,yok,742680
Fiat,Tipo,2019,84533,manuel,elektrik,1.0,sedan,yok,1333336
Audi,A3,2023,58705,manuel,hybrid,1.0,sedan,yok,355444
Renault,Clio,2021,113911,otomatik,benzin,2.0,sedan,yok,894707
Ford,Mondeo,2016,68452,otomatik,dizel,1.0,suv,yok,1404019
Fiat,500X,2022,32697,otomatik,benzin,1.5,hatchback,yok,760244
Honda,Civic,2023,120610,otomatik,benzin,1.4,hatchback,yok,1610746
Mercedes,GLA200,2021,38222,otomatik,benzin,1.0,sedan,yok,530354
Fiat,Panda,2020,55717,otomatik,benzin,1.6,sedan,yok,1551471
Mercedes,GLA200,2017,12050,manuel,benzin,1.6,sedan,yok,432397
Renault,Talisman,2021,127638,otomatik,hybrid,1.4,hatchback,yok,348581
Toyota,Yaris,2015,9368,otomatik,hybrid,1.6,sedan,yok,175282
Ford,Puma,2021,75042,otomatik,benzin,1.3,suv,yok,1443578
Renault,Captur,2018,68411,otomatik,dizel,2.0,suv,var,1541081
BMW,M4,2020,134272,otomatik,dizel,1.6,sedan,yok,896358
Renault,Clio,2023,171081,otomatik,dizel,1.4,sedan,yok,392248
Honda,Jazz,2019,164333,otomatik,benzin,1.5,suv,yok,1586083
Hyundai,i20,2017,43405,otomatik,dizel,1.4,hatchback,yok,795675
Mercedes,CLA200,2016,107283,otomatik,benzin,2.0,suv,var,860778
BMW,520i,2019,19836,otomatik,benzin,1.3,sedan,yok,1320931
Toyota,RAV4,2018,120851,manuel,benzin,1.3,hatchback,var,1162165
Hyundai,Tucson,2016,45183,manuel,hybrid,1.6,sedan,yok,1076788
Volkswagen,Arteon,2018,83395,otomatik,benzin,1.0,suv,var,440847
BMW,116i,2023,98963,manuel,dizel,1.6,sedan,yok,442239
Fiat,500X,2019,115679,manuel,dizel,1.6,sedan,yok,221539
BMW,X5,2021,111443,otomatik,hybrid,1.4,suv,yok,1000945
Toyota,Yaris,2021,45095,otomatik,dizel,1.4,sedan,yok,941177
BMW,520i,2022,87478,manuel,benzin,1.3,suv,yok,598246
Toyota,Corolla,2023,197567,otomatik,benzin,1.6,hatchback,var,900716
Honda,HR-V,2017,7502,otomatik,benzin,1.3,hatchback,yok,1345264
Honda,Jazz,2021,107351,otomatik,hybrid,1.6,hatchback,yok,1203257
Hyundai,i10,2020,180888,manuel,dizel,1.5,sedan,yok,351236
Renault,Kadjar,2016,138141,manuel,hybrid,2.0,sedan,yok,469766
Renault,Kadjar,2016,73224,otomatik,dizel,1.5,hatchback,yok,100000
Hyundai,Kona,2018,118688,otomatik,hybrid,1.3,sedan,var,274974
Honda,HR-V,2020,164433,manuel,benzin,2.0,sedan,yok,132104
Ford,Focus,2023,127735,manuel,dizel,1.4,sedan,yok,645112
Ford,Puma,2016,83537,otomatik,hybrid,2.0,sedan,var,1494418
Volkswagen,Tiguan,2020,35768,manuel,hybrid,1.0,hatchback,yok,1246383
Volkswagen,Golf,2023,25494,manuel,dizel,1.6,suv,yok,340034
Fiat,500X,2023,177604,otomatik,benzin,1.4,hatchback,yok,419776
Mercedes,E250,2018,21204,otomatik,benzin,1.3,sedan,yok,1122095
Renault,Clio,2023,186841,otomatik,dizel,2.0,sedan,yok,850654
Hyundai,i10,2019,117297,otomatik,hybrid,1.5,sedan,yok,334153
Honda,Accord,2015,165978,manuel,benzin,2.0,suv,yok,832790
Ford,Puma,2019,186963,manuel,benzin,1.4,hatchback,yok,1492971
Honda,Accord,2019,15614,otomatik,hybrid,1.5,hatchback,yok,1131098
Mercedes,CLA200,2015,130139,manuel,benzin,1.4,hatchback,yok,1453812
Volkswagen,Polo,2018,73190,manuel,benzin,1.3,sedan,yok,100000
Volkswagen,Arteon,2015,27576,otomatik,benzin,1.4,sedan,yok,969510
Fiat,Tipo,2023,105327,otomatik,benzin,1.3,sedan,yok,1562490
Hyundai,i20,2023,73240,otomatik,dizel,1.3,sedan,yok,497361
Hyundai,Tucson,2021,35233,otomatik,elektrik,1.3,sedan,yok,1769466
Audi,Q5,2023,97248,otomatik,dizel,1.4,sedan,yok,1711223
Audi,A3,2020,112050,manuel,hybrid,1.6,suv,yok,244823
Fiat,Panda,2019,172515,otomatik,benzin,2.0,sedan,yok,1205153
BMW,116i,2015,195965,otomatik,benzin,1.4,sedan,yok,1201862
Volkswagen,Tiguan,2023,84209,otomatik,benzin,1.5,sedan,yok,832173
Mercedes,GLA200,2023,24400,manuel,benzin,1.3,sedan,yok,554472
Renault,Megane,2021,41841,otomatik,dizel,1.0,sedan,yok,449563
Hyundai,Tucson,2020,130870,otomatik,dizel,2.0,sedan,var,1687624
Fiat,500,2016,104837,manuel,hybrid,1.3,sedan,yok,1569101
Toyota,RAV4,2022,73987,otomatik,benzin,1.4,sedan,var,482099
Audi,A4,2021,106090,otomatik,benzin,1.0,suv,var,735402
Volkswagen,Golf,2015,1629,otomatik,dizel,1.0,sedan,var,923105
Renault,Clio,2018,199866,otomatik,benzin,1.3,sedan,var,1038684
Honda,Civic,2022,106913,otomatik,benzin,1.6,sedan,var,486766
BMW,116i,2020,179887,otomatik,dizel,1.5,sedan,yok,835896
BMW,X5,2016,162440,otomatik,elektrik,1.3,hatchback,var,1357621
Mercedes,C180,2018,2539,otomatik,dizel,2.0,suv,yok,953634
Toyota,Yaris,2019,171638,otomatik,benzin,1.3,sedan,yok,442305
Mercedes,E250,2018,1540,otomatik,dizel,1.5,sedan,yok,1418867
Fiat,Tipo,2018,169363,manuel,dizel,1.0,suv,yok,1333789
Mercedes,C180,2015,151882,manuel,dizel,1.3,hatchback,yok,1528465
Mercedes,A180,2021,41937,otomatik,elektrik,1.0,suv,yok,295996
BMW,320i,2022,20119,otomatik,elektrik,2.0,suv,var,1711877
Hyundai,Tucson,2018,15220,otomatik,benzin,1.0,sedan,yok,1549666
Audi,A6,2018,196470,otomatik,dizel,1.3,sedan,yok,534717
Toyota,Yaris,2023,105672,otomatik,hybrid,2.0,suv,yok,1404852
Fiat,Egea,2018,187292,otomatik,dizel,1.0,suv,yok,1229326
Fiat,Egea,2017,90917,otomatik,hybrid,2.0,sedan,var,100000
Toyota,Yaris,2015,17965,manuel,dizel,1.0,suv,yok,312471
Volkswagen,Arteon,2020,171618,otomatik,hybrid,1.0,sedan,yok,1767152
Mercedes,A180,2015,174149,otomatik,benzin,1.3,suv,var,100000
Ford,Mondeo,2022,187626,manuel,benzin,1.5,sedan,yok,1044880
Renault,Talisman,2017,9016,manuel,hybrid,1.6,hatchback,yok,1103905
Honda,Civic,2016,55827,manuel,benzin,1.6,sedan,yok,493712
Honda,HR-V,2021,9651,otomatik,benzin,2.0,sedan,yok,847200
Volkswagen,Polo,2016,178878,otomatik,benzin,1.5,hatchback,yok,1357980
Mercedes,A180,2021,113954,otomatik,dizel,1.4,sedan,yok,1645964
Ford,Kuga,2016,1199,manuel,dizel,1.6,hatchback,yok,1382158
Ford,Fiesta,2015,118570,otomatik,hybrid,1.5,hatchback,yok,1506179
Renault,Captur,2017,157085,otomatik,elektrik,1.5,sedan,yok,1012768
Toyota,Corolla,2017,11329,otomatik,benzin,1.4,hatchback,var,1359844
Honda,Accord,2015,142378,otomatik,hybrid,1.0,sedan,yok,100000
Audi,A3,2016,35896,otomatik,benzin,1.6,suv,yok,226738
Toyota,Yaris,2019,122642,otomatik,benzin,1.6,sedan,var,273095
BMW,X5,2022,66422,otomatik,benzin,2.0,suv,yok,1558208
Renault,Megane,2015,184673,otomatik,dizel,1.3,suv,yok,805084
Hyundai,Kona,2022,167230,otomatik,dizel,1.4,sedan,yok,904847
BMW,320i,2020,20038,otomatik,benzin,1.5,sedan,yok,1661893
Toyota,C-HR,2020,39416,manuel,dizel,1.3,suv,yok,1005819
Honda,CR-V,2021,150179,manuel,benzin,1.4,suv,yok,772075
Toyota,Yaris,2021,75192,otomatik,benzin,2.0,sedan,yok,973554
Hyundai,Tucson,2018,111974,otomatik,dizel,1.6,sedan,yok,1054619
Ford,Fiesta,2020,30940,otomatik,dizel,1.4,sedan,var,740709
Hyundai,i30,2016,41136,otomatik,dizel,1.3,hatchback,yok,496709
Toyota,Corolla,2022,166089,otomatik,benzin,1.0,hatchback,yok,1276601
Toyota,RAV4,2023,7260,otomatik,dizel,1.6,sedan,yok,611962
Fiat,500,2020,53231,manuel,dizel,1.3,sedan,var,294337
Ford,Mondeo,2019,117913,otomatik,dizel,1.0,sedan,yok,658174
Ford,Kuga,2023,142457,manuel,benzin,1.4,sedan,yok,1169008
Fiat,Egea,2015,13258,manuel,benzin,1.5,hatchback,var,434980
Ford,Fiesta,2021,176504,otomatik,dizel,1.4,sedan,yok,672792
Fiat,Panda,2015,161667,manuel,benzin,1.0,suv,yok,1028012
Honda,Accord,2020,188961,manuel,benzin,2.0,sedan,yok,1423651
Volkswagen,Passat,2019,31493,manuel,benzin,1.5,sedan,var,996302
Ford,Focus,2021,69771,otomatik,dizel,1.5,hatchback,var,1526298
Volkswagen,Polo,2023,49274,otomatik,dizel,1.3,suv,yok,1145391
Renault,Megane,2022,14049,otomatik,elektrik,1.6,suv,yok,954141
Hyundai,Kona,2023,158765,otomatik,benzin,1.3,hatchback,yok,1832205
Mercedes,CLA200,2022,134921,otomatik,dizel,1.5,sedan,yok,671493
BMW,X5,2019,124755,manuel,benzin,2.0,hatchback,yok,1423615
Toyota,C-HR,2018,166945,otomatik,benzin,1.4,sedan,yok,1243162
Toyota,C-HR,2022,18179,otomatik,benzin,1.3,hatchback,yok,1555779
BMW,X5,2019,24149,otomatik,hybrid,2.0,hatchback,yok,922210
Renault,Kadjar,2015,4614,manuel,benzin,1.6,sedan,var,965144
Ford,Focus,2021,14191,otomatik,dizel,1.5,sedan,yok,1647104
Volkswagen,Arteon,2017,3198,otomatik,benzin,1.0,sedan,yok,1496350
Volkswagen,Polo,2015,37266,otomatik,dizel,1.5,hatchback,yok,1345628
Audi,A3,2020,74657,otomatik,hybrid,1.3,suv,yok,1113620
Audi,A3,2020,105340,otomatik,hybrid,1.4,sedan,yok,468908
